angaben_scansId,angabenId,scanId
1073,902,4027
1074,903,4027
1075,904,4027
1076,905,4028
1077,906,4028
1078,907,4028
1079,908,4029
1080,909,4029
1081,910,4029
1082,911,4029
1083,912,4029
1084,913,4029
1085,914,4029
1086,915,4029
1087,916,4030
1088,917,4030
1089,918,4030
1090,919,4031
1091,919,4032
1092,920,4033
1093,921,4033
1094,922,4033
1095,923,4033
1096,924,4033
1097,925,4033
1098,926,4033
1099,927,4034
1100,928,4034
1101,929,4034
1102,930,4034
1103,931,4034
1104,932,4034
1105,932,4035
1106,933,4035
1107,933,4036
1108,934,4036
1109,934,4037
1110,935,4037
1111,936,4037
1112,937,4037
1113,938,4037
1114,939,4038
1115,940,4038
1116,941,4038
1117,941,4039
1118,942,4040
1119,942,4041
1120,942,4042
1121,943,4042
1122,944,4042
1123,945,4042
1124,946,4043
1125,947,4043
1126,948,4043
1127,949,4044
1128,950,4044
1129,951,4044
1130,952,4044
1131,953,4044
1132,954,4044
1133,955,4044
1134,956,4044
1135,957,4044
1136,958,4045
1137,958,4046
1138,958,4047
1139,958,4048
1140,958,4049
1141,958,4050
1142,958,4051
1143,959,4051
1144,960,4051
1145,961,4051
1146,962,4051
1147,963,4052
1148,964,4052
1149,965,4052
1150,966,4052
1151,967,4053
1152,968,4053
1153,969,4053
1154,970,4053
1155,971,4054
1156,972,4054
1157,973,4054
1158,974,4054
1159,975,4055
1160,976,4055
1161,977,4055
1162,978,4055
1163,979,4055
1164,980,4055
1165,981,4055
1166,982,4056
1167,983,4056
1168,984,4056
1169,985,4056
1170,986,4056
1171,987,4056
1172,988,4056
1173,989,4056
1174,990,4057
1175,990,4058
1176,991,4058
1177,991,4059
1178,992,4059
1179,992,4060
1180,993,4060
1181,994,4060
1182,995,4060
1183,996,4061
1184,997,4061
1185,998,4061
1186,999,4061
1187,1000,4061
1188,1001,4062
1189,1002,4062
1190,1003,4062
1191,1004,4062
1192,1005,4062
1193,1006,4062
1194,1007,4063
1195,1008,4063
1196,1009,4063
1197,1010,4063
1198,1011,4063
1199,1013,4064
1200,1014,4064
1201,1015,4064
1202,1016,4064
1203,1017,4064
1204,1018,4064
1205,1019,4065
1206,1020,4065
1207,1021,4065
1208,1021,4066
1209,1021,4067
1210,1022,4067
1211,1023,4067
1212,1024,4067
1213,1024,4068
1214,1024,4069
1215,1025,4069
1216,1026,4069
1217,1027,4069
1218,1028,4069
1219,1029,4070
1220,1030,4070
1221,1031,4070
1222,1032,4070
1223,1032,4071
1224,1033,4071
1225,1034,4071
1226,1035,4071
1227,1036,4071
1228,1037,4071
1229,1038,4072
1230,1039,4072
1231,1039,4073
1232,1040,4073
1233,1041,4073
1234,1042,4073
1235,1043,4073
1236,1044,4074
1237,1045,4074
1238,1046,4074
1239,1047,4074
1240,1048,4074
1241,1049,4074
1242,1050,4075
1243,1050,4076
1244,1050,4077
1245,1050,4078
1246,1050,4079
1247,1051,4079
1248,1052,4079
1249,1053,4080
1250,1054,4080
1251,1055,4080
1252,1056,4080
1253,1057,4080
1254,1058,4080
1255,1059,4080
1256,1060,4080
1257,1061,4081
1258,1062,4081
1259,1063,4081
1260,1064,4081
1261,1065,4081
1262,1066,4081
1263,1067,4082
1264,1068,4083
1265,1069,4083
1266,1070,4083
1267,1071,4083
1268,1072,4084
1269,1073,4084
1270,1073,4085
1271,1074,4085
1272,1075,4085
1273,1076,4085
1274,1077,4086
1275,1078,4086
1276,1079,4086
1277,1080,4086
1278,1081,4086
1279,1082,4086
1280,1083,4086
1281,1084,4086
1282,1085,4087
