ladung_zielortId,ladungId,zielort
1739,50813,27
1741,50885,3
1742,47316,4
1743,50887,3
1744,50888,27
1745,50892,3
1746,50893,27
1747,50894,27
1748,50895,3
1749,47652,280
1750,47839,179
1751,47842,3
1752,47884,252
1753,47885,5
1754,48268,4
1755,48362,3
1757,51045,27
1758,51053,3
1759,51070,3
1760,48755,3
1761,51090,3
1762,51094,3
1763,51142,27
1764,49094,173
1765,49110,3
1766,51167,27
1767,49963,280
1768,51188,3
1769,51191,3
1770,51204,128
1771,51207,27
1772,51238,112
1773,51257,27
1774,51266,112
1775,51269,3
1776,51270,1
1777,51309,27
1778,51314,27
1779,51320,27
1780,51342,3
1781,51349,27
1782,51405,27
1783,51493,89
1784,51526,3
1785,51534,112
1786,51538,112
1788,51562,17
1789,51570,27
1790,51696,3
1792,51725,112
1793,51801,3
1794,51847,3
1795,51906,3
1796,51969,5
1797,52034,3
1798,52034,27
1799,52054,3
1800,52058,27
1801,52075,3
1802,52215,27
1803,52236,348
1804,52308,11
1805,52364,1
1806,52372,89
1807,52387,27
1808,52420,27
1809,52423,27
1810,52444,3
1811,50581,3
1812,52450,3
1813,52554,112
1814,52601,27
1815,52605,27
1816,52608,27
1817,52613,4
1818,52626,3
1819,52731,27
1820,52740,11
1821,52792,112
1822,52839,3
1823,52906,3
1824,52945,27
1825,52951,10
1826,52975,112
1827,53128,112
1828,53130,148
1829,53169,112
1830,53173,442
1831,53174,170
1832,53204,3
1833,53304,27
1834,53307,27
1835,53338,128
1836,53418,3
1837,53423,13
1838,53488,27
1839,53490,3
1840,53494,112
1841,53586,27
1842,53696,256
1843,53713,264
1844,53734,27
1845,53777,322
1846,53790,3
1847,53804,11
1848,53810,11
1849,53909,27
1850,54057,27
1851,54090,27
9447,57603,27
1853,54123,62
1854,54168,342
1855,54211,4
1856,54249,112
1857,54266,3
1858,54268,25
1859,54313,29
1860,54334,89
1861,54432,112
1862,54444,10
1863,54479,112
1864,54513,4
1865,54516,27
1866,54520,3
1867,54532,112
1868,54534,27
1869,54582,27
1870,54583,112
1871,54585,112
1872,54595,112
1873,54596,112
1874,54651,112
1875,54658,10
1876,54662,10
1877,54694,27
1878,54740,112
1879,54741,112
1880,54743,112
1881,54760,12
1882,54766,112
1883,54769,3
1884,54832,112
1885,54840,3
1886,54841,112
1887,54842,609
1888,54843,3
1889,54861,3
