nachnameId,nachname,nachname_quelle,nachname_bemerkungen
314,Deller,"Deller, Beller, Dellor",
315,Pazer,"Pazer, Patzer, Pezer, Parzer",
316,Hilger,Hilger,
317,Grillmayr,Grillmayr,
318,Weißhaider,Weißhaider,
319,Kren,"Kren, Krenn, Kree, Khrenn, Kremayr [wieso das?, das müsste doch zu Krenmayr gehören???]",
320,Perzl,Perzl,
321,Hintermayr,"Hintermayr, Hindermayr",
322,Pusch,Pusch,
323,Liebleithner,Liebleithner,
324,Seebacher,"Seebacher, Sebacher",
325,Knor,"Knor, Knorr",
326,Geisser,"Geißer, Geiser, Geisser, Geissner",
327,Bachhelbel,Bachhelbel,
329,Pirian,"Pirian, Piria",
330,Ernst,Ernst,
331,Breit,"Braith, Breit",
332,Bartels,"Partels, Bartels",
333,Knoth,"Gnoth, Knott, Gnott",
334,Weyh,"Weyh, Weyhe, Weyhr, Weyher",
336,Sembler,"Sembler, Sender, Seimbler, Sembter",
337,Stock,"Stockh, Stokh",
339,Carl,"Carl, Karl, Carle",
340,Nöstl,"Nöstl, Nestl",
341,Wallfux,Wallfux,
342,Hartung,"Hortung, Harting, Hartungen",
343,Haller,"Haller, Holler",
344,Riedl,"Riedl, Rüedl, Rüdl, Rüdell, Ruedl, Röedl, Rüdet, Rüedlin, Ritl, Raidl",
346,Hell,Hell,
347,Seifert,"Seifert, Seiffert, Seiffahrt, Seiffart, Seyfarth, Seyfartt, Seyfrid",
348,Schwarzleithner,"Schwarzleithner, Schwazleithner, Schwarzleuthner",
349,Inhoff,"Inhoff, Imhoff",
350,Rössler,"Rössler, Rösler, Rößler, Kössler, Rosler, Resler, Reysl",
351,Albrechtsberger,"Albrechtsberger, Albertsberger",
352,Rottmann,"Rottman, Rothmann, Rothman, Rotteman",
353,Wertheimer,"Werthaimer, Werthhaimer, Wertheimber",
355,von Jaxheim,"v. Jaxheimb, v. Jouxheimb",
356,Schwarzenberger,"Schwarzenberger, Schwarzenberg, Schwarzberger",
357,Lehmann,"Lechman, Lehman, Lechmans, Lodsman, Loochman",
358,Burgel,Burgel,
359,Martinez,"Martinez, Martines",
360,Bittoni,"Bittoni, Pittoni, Bitoni, Buttani, Bitone, Pitoni, Bettoni",
361,Grienerwald,"Grienerwalth, Grüenwolth, Grienwald, Grienerwold, Grienerbalth, Greinerwaldt, Grienwalth, Gerwalth",
362,Eggersdorfer,"Eggerstorffer, Eggentorffer, Eggenstorffer, Eggstorffer, Egenstorffer, Ekherstorffer, Ekenstorffer [Etnstorffer?]",
363,Gering,"Gering, Göring, Gring, Gerinnger",
365,Gutter,"Guther, Gutter, Guter",
366,Kolb,"Kolb, Kelb, Kolm, Koll, Kalb, Kobl [offenbar Verschreibung]",
367,Hofmann,"Hofman, Hoffman, Hoffmann, Hofmann",
368,von Ulm,v. Ulm,
369,Punz,"Punz, Bunz",
370,Stahrnberger,Stahrnberger,
371,Perthold,"Berthold, Pertholdt, Berdold, Pertolt, Berdtholt, Perthold",
372,Lindner,"Lindtner, Lindner, Lindter",
373,Krazer,"Krazer, Grazer, Kratzer, Krezer, Krezler",
374,Reiffenstuel,"Reiffenstuell, Raiffensstuell",Zur Schreibung des Namens siehe https://www.sn.at/wiki/Reiffenstuel
375,Seemann,Seeman,
376,Steindl,"Staindl, Staintl, Ständl, Steindl, Staidl, Strindl",
377,Steinisin,"Stainislain, Stainisin",
378,Steiner,"Stainer, Stänner",
379,Gerg,"Gerg, Gerb, Greth [offenbar Verschreibung]",
380,Naimer,"Naimer, Nainmer, Naymer, Noimer, Naumer, Näymer, Naüner, Maymer, Naumayr, Naimayr, Naymayr, Neymer, Neumayr, Naumair, Nahmer",
381,Wenger,"Wenger, Wänkher",
382,Kastner,"Kastner, Castner, Kasstner",
383,Neuner,"Neuner, Neiner, Neüner, Neyner, Nayner, Naimer",
384,Redlich,"Redlich, Rödlich, Rölich",
385,Osterminicher,"Osterminicher, Ostermüchinger",
386,Hornsteiner,"Hornstainer, Hernstainer, Harnstainer, Farnstainer",
388,Krümer,Krümer,Siehe Krimerin.
389,Knölin,"Knölin, Krünin, Knieling, Knöling",
390,Prünstinger,"Prünstinger, Prienstinger, Prinzinger, Prinstinger",
391,Heindl,"Heindl, Haindl, Haidl, Hainl, Händl, Haintl",
392,Pabst,"Pabst, Papst",
393,Havon,Havon,
394,Rohreisen,"Rohreisen, Rohreiser, Stohreisen",
395,Deutsch,"Deutsch, Teutsch",
396,König,"König, Konig, Chönig, Köni",
397,Fierhauser,Fierhaußer,
7135,Kaltenhofer,Kaltenhofer,
399,Köffinger,"Köflinger, Köffinger","Trotz der abweichenden Schreibung handelt es sich um nur eine Person (Peter Köffinger, in den Matriken: ""nauta"" Peter Koffinger)."
400,Siller,"Siller, Süller, Suller, Sidler, Sailer",
403,Äfferl,"Afferkl, Äfferl, Afferl",
404,Wöss,"Wöss, Weß, Weeß",
405,Kiblböck,"Kiblpökh, Kiblpekh, Kiblbökh, Küblbökh, Kiplbök, Kiplpöckh, Kübl [das scheint abwegig! Anm. AS]",
406,Kräffl,"Kräffl, Cräffl, Kräfftl, Kraffl, Kräftl, Craffl, Cörffl",
408,Altmann,Altman,
409,Meidinger,"Meidinger, Meydinger, Meidlinger, Weidinger, Weydinger, Meittinger",
410,Simet,"Simet, Simmet, [Sivet?], Simt",
411,Grabmer,"Grabmer, Gramer, Gräbmer, Grabner, Gruebner, Grebmer, Grammer, Grobmer",
412,Schenbeck,"Schenbeck, Schenbekh, Schenpöckh",
413,Plochberger,"Plochberger, Ploberger",
414,Winkler,"Winckler, Winkhler, Wünkler, Winckhler, Wünkhler,Wingler",
415,Ferstl,"Ferstl, Verstl",
416,Schwanser,"Schwanser, Schwannser, Schwanner",
417,Zeiller,Zeiller,
418,Lechenhofer,Lechenhofer,
419,Stöbacher,"Stöbacher, Stobacher, Stöppach, Stöpach",
420,Hilleprand,"Hilleprand, Hillerprand, Hilleprandt, Höllerprand, Hillebrand, Hilleprant, Hälleprand, Häleprandt, Hilliprandt",
421,Futi,Futi,
423,Traunpauer,"Traunpaur, Tronpaur, Thranpaur",
424,Gori,Gori,
9051,Liebenknecht,"Liebenknecht, Liebmknecht",
2390,Salvator,"Salvator, Salvedor",
427,de Boil,"de Boil, de Bail",
428,de Pazora,"de Pazora, de Bazora, v. Bazora",
430,Miller,"Miller, Müller, Millner, Müllner, Muller, Moller, Möller, Niller, Mühler",
431,Viechtbauer,"Viechtbaur, Vietpaur, Viechpaur, Viechtpaur",
432,Kumberger,Kumberger,
433,Fierbaß,"Fierbaß, Füerbast, Fürboß, Füerboß, Firbaß",
434,Patuzzi,"Batuzi, Batazi, Patuzi, Botozi, Batozi, Pattazi, Bahtozi, Petazi",
435,Malengo,"Malengo, Maleng, Melengo",
436,Amadei,"Amadei, Amadi, Amade, Adenei, Amode, Amadeo, Amadini, Amadeini, Aminei, Amadlini",
437,de S. Nicola,"de S. Nicola, de Nicola, de Sanct Nicola, S. Nicola, Nicola, de Santihiculo, de St. Nicola, de Nicola",
438,Rozzio,"Rozzio, Rozio, Rozioni, Rozzia",
439,Negri,"Negri, de Negri, Neger",
440,Cerletti,Cerleti,
441,Orrio,"Orrio, Orreo, Oreio, Orio, Oreo",
442,Gazzinelli,"Gazinelli, Gazzinelli, Gazenella, Gazinella, Lazzinelli, Gazinlli",
443,Tinti,"Tinti, Tintin",
444,Pfizenreither,"Pfizenreither, Pfizenreuther, Pfischenreuther",
445,Wintersteiner,"Winterstainer, Wintersteiner, Wintstainer",
447,Luz,"Luz, Lutz",
448,Guggenberger,"Gugenberger, Guggenberger",
449,Tressini,Tressini,
450,Wöger,Wöger,
451,Pupp,Pupp,
452,Rengstl,Rengstl,Lesung unsicher
453,Kirchberger,"Kürberger, Kürhberger, Knerchberger, Kirchberger, Küberger, Küeberger, Kieperger",
454,Miessgang,"Miessiggang, Müessgang, Müessganng",
455,Gärber,"Gärber, Gerber, Görber, Garber, Kerber",ident mit Kerber und Körber
456,Andlanger,"Andlanger, Antlanger, Andlannger, Adlanger",
459,Ferner,"Fehrner, Fehrer, Ferner, Feruer, Ferrner, Farner, Färner",
461,Salheim,Salheim,
462,Feichtinger,"Feichtinger, Feüchtinger, Veichtinger",ident mit Veichtinger
464,Herrnbeck,"Herrnbekh, Hernbekh, Herrnbökh, Herrnpeok, Hernpeck, Hornpökh",
465,Lamprecht,"Lampeht, Lamprecht, Lambrecht, Lampert, Lambre",
466,Pogler,"Pogler, Poxler",
467,Schuller,"Schueller, Schuler, Schuellerz",
5920,Fratis,Fratis,
469,Pinkl,"Pinkhl, Pünckhl, Binckhl",
470,Pach,"Pach, Pacher",
471,Kröner,"Kröner, Kroner, Kränner",
472,Zächerl,"Zächerl, Zöherl, Zacherl, Zächer",
473,von Haas,v. Haas,
474,Stößer,Stöser,
