fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
73709,4998,10,38,,,16,2
73710,21232,10,38,,,16,2
73711,34859,7,2,,,16,2
73712,34860,146,2,,1,18,2
73713,24300,32,2,,2,12,2
73714,204,10,38,,,16,1
73715,360,30,34,,,16,2
73716,204,10,38,,,16,2
73717,5079,11,122,,,16,2
73718,7575,9,5,,,16,2
73719,210,10,38,,,16,2
73720,169,225,6,,,16,2
73721,13986,26,6,,,16,2
73722,170,4,6,,,16,2
73723,204,10,38,,,16,2
73724,2160,13,38,,,16,2
73725,29395,16,41,,,24,2
73726,204,10,38,,,16,2
73727,4958,5,6,,,16,2
73728,19986,196,6,,,16,1
73729,32548,24,2,,4,,2
73730,18475,157,2,,2,12,2
