person_verknuepftId,personenId1,personenId2
1557,964,7062
1558,964,13492
1559,964,14320
1560,7062,13492
1561,7062,14320
1562,13492,14320
1563,965,2853
1564,965,8053
1565,2853,8053
1566,981,5371
1567,981,12607
1568,5371,12607
1569,5371,12607
1570,170,14906
1571,170,1671
1572,1671,14906
1573,1040,1408
1575,16387,8767
1576,16387,610
1577,16387,15797
1578,23,5386
1579,16388,4289
1580,717,2871
1581,1250,11258
1582,1250,14120
1583,11258,14120
1584,1573,2218
1585,4528,10487
1586,3562,10700
1587,778,13726
1588,778,1390
1589,778,14601
1590,778,15960
1591,13726,1390
1592,13726,14601
1593,14601,1390
1594,14601,15960
1599,6535,6864
1600,6535,593
17035,3307,2907
1604,6535,3427
1605,1074,10359
1606,16389,11537
1607,16389,1287
1608,1290,11011
1609,1290,12797
1610,1290,13934
1611,11011,12797
1612,11011,13934
1613,12797,13934
1614,1299,5907
1615,1299,3010
1616,1299,11083
1617,5907,3010
1618,5907,11083
1619,3010,11083
1620,6471,11083
1621,16393,14304
1622,16396,815
1623,16398,8270
1624,16405,5257
1625,16406,343
1626,16406,16220
1627,16409,1089
1628,16409,1338
1629,16409,5507
1630,16409,9151
1631,16411,5150
1632,16416,2966
1633,16417,12805
1634,16420,1999
1635,16420,7905
1636,16420,5236
1637,1378,13779
14979,9294,21583
1639,1380,12746
1640,1380,5597
14980,28450,26106
1643,12746,5597
1644,3942,5765
1645,5765,6777
1646,4911,13880
1647,12872,13567
1648,5334,14479
1649,200,8458
1650,200,10849
1651,8458,10849
1652,3949,10250
1653,4464,12307
1654,2101,2499
1655,2101,3652
1656,2499,3652
1657,8666,14415
1658,8811,221
1659,8811,10082
1660,221,10082
1661,637,6802
1662,1465,1495
1663,1465,2270
1664,1231,4064
1665,1514,2080
1666,2166,7004
1667,5253,5905
1668,5253,11585
1669,5905,11585
1670,6277,6148
1671,1190,5738
1672,1190,1357
1673,1190,1555
17164,6532,27563
1675,1357,5738
1676,1357,1555
17163,6532,26209
1678,1555,5738
17162,6532,23717
17165,6532,39405
1681,1595,11978
1682,1595,12799
1683,11978,12799
1684,1192,2087
1685,1162,5499
1686,1162,6748
1687,1162,9578
1688,5499,6748
1689,5499,9578
1690,6748,9578
1691,16437,1302
1692,16437,6544
1693,3286,5147
1694,2699,11511
1698,2581,12576
1699,2581,14336
1700,12576,14336
1701,2940,6721
1702,2940,14033
1703,6721,14033
1707,5108,14454
1708,13240,14454
1709,7949,12150
1710,7949,14826
1711,12150,14826
1712,508,5528
1713,508,9813
1715,5528,9813
1718,1719,7138
1719,1719,7851
1720,1719,12492
1721,7138,7851
1722,7138,12492
1723,7851,12492
14955,6593,10188
1725,404,7357
1726,2653,13431
1727,2653,13560
1728,13431,13560
1729,4561,7728
16848,17249,30883
1731,215,1881
1732,215,8831
1733,215,8999
1734,215,5444
1735,1881,8831
1736,1881,8999
1737,1881,5444
1738,8831,8999
1739,8831,5444
1740,8999,5444
1741,7428,4139
1742,7428,5939
1743,4139,5939
1744,485,1851
1745,485,7604
1746,485,7703
1747,1851,7604
1748,1851,7703
1749,7604,7703
1750,2529,6595
